BestFitness,AvgFitness,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
57,124.56,1031,194,3268,6674,5401,6081,3764,4107,3548,6917
58,132.92,923,259,3244,6684,5323,6096,3750,4051,3511,6918
60,131.86,1021,23,3309,6642,5239,6087,3766,4102,3578,6783
63,136.44,950,227,3278,6684,5468,6106,3750,4051,3511,6801
60,124.74,990,259,3244,6684,5378,6096,3778,4111,3574,6890
63,132.04,950,356,3262,6711,5441,6090,3735,4056,3451,6858
68,171.6,945,141,3271,6689,5451,6090,3741,4022,3546,6829
71,150.8,973,200,3295,6712,5468,6099,3786,4059,3546,6835
61,157.6,1008,175,3248,6705,5468,6057,3786,4104,3546,6852
60,155.26,869,285,3244,6742,5423,6102,3759,4060,3451,6904
70,158.1,1006,202,3288,6644,5438,6090,3772,4056,3498,6832
64,152.44,937,373,3288,6697,5272,6117,3786,4089,3510,6849
76,142.84,1006,124,3284,6644,5210,6098,3815,4155,3597,6846
71,152.02,937,342,3299,6662,5251,6114,3779,4100,3475,6883
64,149.42,893,196,3250,6636,5411,6114,3790,4106,3553,6844
71,140.86,938,250,3299,6662,5304,6114,3751,4100,3500,6908
